ts,controls
3286788234,0
3286892403,0
3286993685,0
3287094943,0
3287196199,0
3287297554,0
3287398747,0
3287499944,0
3287601167,0
3287702411,0
3287803689,0
3287905009,0
3288006329,0
3288107831,0
3288209100,0
3288310345,0
3288411538,0
3288512694,0
3288613798,0
3288714967,0
3288816168,0
3288927057,0
3289028397,4
3289129631,4
3289230788,4
3289332026,4
3289433306,4
3289538462,4
3289640727,0
3289742039,0
3289843219,0
3289944424,0
3290045788,0
3290146901,0
3290248152,0
3290349288,0
3290450527,0
3290553886,8
3290655089,8
3290756317,8
3290857677,8
3290958884,8
3291060247,8
3291161548,0
3291262756,0
3291363986,0
3291465231,0
3291566515,0
3291667779,0
3291768983,0
3291870239,1
3291971479,1
3292073101,1
3292174743,1
3292276355,1
3292378112,9
3292479323,9
3292580798,9
3292682310,9
3292783463,9
3292884644,9
3292985993,8
3293087171,8
3293188595,8
3293289814,8
3293391098,0
3293492361,0
3293593686,0
3293694923,0
3293796199,0
3293897553,0
3293998782,0
3294103089,0
3294204701,0
3294305874,0
3294407523,0
3294509194,4
3294610728,4
3294712174,4
3294813374,4
3294914835,5
3295015967,5
3295117118,5
3295218472,5
3295319661,5
3295420839,5
3295522103,4
3295623377,4
3295726427,4
3295827753,6
3295929028,6
3296030287,6
3296131572,6
3296232772,6
3296334041,6
3296435309,6
3296536579,4
3296637812,4
3296739165,4
3296840739,5
3296942237,5
3297043831,5
3297144950,5
3297246252,1
3297347556,0
3297448819,0
3297550165,0
3297652034,0
3297753359,0
3297854684,8
3297955915,8
3298057203,8
3298158617,9
3298259927,9
3298361157,8
3298462496,10
3298564055,10
3298665710,10
3298766958,10
3298868330,0
3298969641,4
3299071071,4
3299172614,0
3299273958,8
3299375476,8
3299476619,0
3299577902,4
3299679080,0
3299780229,8
3299881390,8
3299982963,0
3300084539,0
3300185808,0
3300286969,1
3300388387,1
3300489667,1
3300590945,1
3300692221,1
3300793570,9
3300894792,8
3300996069,8
3301097431,8
3301198657,8
3301299905,0
3301401142,0
3301502593,0
3301604058,0
3301705607,0
3301806708,0
3301908113,0
3302009334,0
3302110512,0
3302211621,0
3302312893,0
3302414107,0
3302515220,0
3302616391,0
3302717667,0
3302818836,0
3302920192,0
